GO_ID	ClusterID	ClusterName
GO:1902562	2	Nuclear Enzyme Complexes
GO:1902911	2	Nuclear Enzyme Complexes
GO:1903293	2	Nuclear Enzyme Complexes
GO:1904949	2	Nuclear Enzyme Complexes
GO:1905347	2	Nuclear Enzyme Complexes
GO:1905348	2	Nuclear Enzyme Complexes
GO:1905354	2	Nuclear Enzyme Complexes
GO:1905360	2	Nuclear Enzyme Complexes
GO:1905368	2	Nuclear Enzyme Complexes
GO:1905369	2	Nuclear Enzyme Complexes
GO:1990204	2	Nuclear Enzyme Complexes
GO:1990228	2	Nuclear Enzyme Complexes
GO:1990351	1	Gene-Expression Complexes
